2016-12-28 14:04:07,195 [INFO] astrategy.py 504: Now macket status: 0.04513513513513511
2016-12-28 14:04:07,197 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:04:07,198 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150186', '150217']
2016-12-28 14:04:38,757 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:04:38,767 [INFO] astrategy.py 504: Now macket status: 0.04513513513513511
2016-12-28 14:04:38,768 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:04:38,769 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150186', '150217']
2016-12-28 14:04:55,367 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:04:55,376 [INFO] astrategy.py 504: Now macket status: 0.04513513513513511
2016-12-28 14:04:55,378 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:04:55,379 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150186', '150217']
2016-12-28 14:05:20,336 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:05:20,345 [INFO] astrategy.py 504: Now macket status: 0.03945945945945943
2016-12-28 14:05:20,347 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:05:20,347 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:05:31,396 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:05:31,405 [INFO] astrategy.py 504: Now macket status: 0.03945945945945943
2016-12-28 14:05:31,407 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:05:31,408 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:06:06,580 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:06:06,589 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:06:06,590 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:06:06,591 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:06:29,948 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:06:29,957 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:06:29,959 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:06:29,960 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:06:52,561 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:06:52,570 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:06:52,572 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:06:52,573 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:07:13,650 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:07:13,659 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:07:13,661 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:07:13,662 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:07:19,272 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:07:19,282 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:07:19,283 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:07:19,284 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:07:45,411 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:07:45,421 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:07:45,422 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:07:45,423 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:08:03,036 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:08:03,050 [INFO] astrategy.py 504: Now macket status: 0.04216216216216214
2016-12-28 14:08:03,052 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:08:03,052 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:08:28,612 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:08:28,621 [INFO] astrategy.py 504: Now macket status: 0.0424324324324324
2016-12-28 14:08:28,623 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:08:28,624 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:09:14,033 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:09:14,042 [INFO] astrategy.py 504: Now macket status: 0.03405405405405404
2016-12-28 14:09:14,043 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:09:14,044 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:09:26,682 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:09:26,691 [INFO] astrategy.py 504: Now macket status: 0.03405405405405404
2016-12-28 14:09:26,693 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:09:26,693 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:09:48,058 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:09:48,095 [INFO] astrategy.py 504: Now macket status: 0.03108108108108109
2016-12-28 14:09:48,097 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:09:48,098 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:10:05,823 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:10:05,832 [INFO] astrategy.py 504: Now macket status: 0.03108108108108109
2016-12-28 14:10:05,834 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:10:05,835 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:10:45,631 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:10:45,640 [INFO] astrategy.py 504: Now macket status: 0.033783783783783786
2016-12-28 14:10:45,642 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '150203', '502049']
2016-12-28 14:10:45,643 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:11:16,824 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:11:16,833 [INFO] astrategy.py 504: Now macket status: 0.008918918918918918
2016-12-28 14:11:16,834 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '502049', '150217']
2016-12-28 14:11:16,835 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:11:16,836 [INFO] astrategy.py 493: del: 150217  entrust_id: 43135
2016-12-28 14:11:17,113 [DEBUG] gftrader.py 108: raw response: {"total":1,"data":[{"error_no":"0","entrust_bs":"2","entrust_no_old":"43135","money_type":"0","entrust_type":"2","exchange_type":"2","seat_no":"234800","stock_code":"150217","entrust_status_old":"3","business_amount":"0","order_id":"44129","orig_order_id":"43135","entrust_status":" ","entrust_amount":"87300.00","entrust_price":"1.028","entrust_no":"44129","fund_account":"9237965","report_no_old":"43135","report_no":"43135","stock_account":"0184731551","error_info":"","batch_no":"0","business_price":"0"}],"success":true}
2016-12-28 14:11:40,735 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:11:40,744 [INFO] astrategy.py 504: Now macket status: 0.008918918918918918
2016-12-28 14:11:40,746 [INFO] astrategy.py 416: TOP3:  ['150255', '502004', '150177', '502049', '150217']
2016-12-28 14:11:40,746 [INFO] astrategy.py 417: NowPosition:  ['502011', '150255', '502049', '150217', '150186']
2016-12-28 14:11:50,704 [INFO] astrategy.py 136: 集思录数据 page:1, rows:140
2016-12-28 14:11:50,723 [INFO] astrategy.py 504: Now macket status: 0.008918918918918918
